Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Innovative Mining,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Innovative Mining,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Innovative Mining,Guyana Gold Board (GGB),"Other material payment flows > GYD 1,000,000 (GGB)",Yes,Yes,Innovative Mining,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Innovative Mining,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Innovative Mining,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
JHI Associates (BVI) Inc,Guyana Geology and Mines Commission (GGMC),Annual assignment Fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
JHI Associates (BVI) Inc,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Methuram Suraj,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Methuram Suraj,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Mid Atlantic Oil & Gas Inc,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Mohamed's Enterprise,Guyana Gold Board (GGB),Admin fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Mohamed's Enterprise,Guyana Gold Board (GGB),Royalties-,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
New East International,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,New East International,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
New East International,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,New East International,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
North American Resources Inc. Ltd.,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,North American Resources Inc. Ltd.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Ontario Inc.,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Ontario Inc.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Ontario Inc.,Guyana Gold Board (GGB),Admin fees,Yes,Yes,Ontario Inc.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Ontario Inc.,Guyana Gold Board (GGB),"Other material payment flows > GYD 1,000,000 (GGB)",Yes,Yes,Ontario Inc.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Ontario Inc.,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Ontario Inc.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Parmeshwar Jagmohan,Environmental Protection Agency (EPA),"Other material payment flows > GYD 1,000,000- (EPA)",Yes,Yes,Parmeshwar Jagmohan,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Parmeshwar Jagmohan,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Parmeshwar Jagmohan,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Pereira Mining Co.,Guyana Geology and Mines Commission (GGMC),Annual Licence Rental Charge,Yes,Yes,Pereira Mining Co.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Pereira Mining Co.,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Pereira Mining Co.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Pure Diamond Inc.,Guyana Geology and Mines Commission (GGMC),Licence fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Pure Diamond Inc.,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Pure Diamond Inc.,Guyana Gold Board (GGB),Royalties-,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
RAMNARINE,Guyana Geology and Mines Commission (GGMC),Annual Licence Rental Charge,Yes,Yes,RAMNARINE,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
RAMNARINE,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,RAMNARINE,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
RAMNARINE,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,RAMNARINE,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
